Date,GHI,PR
2021-07-26,5.688958333,79.79306328
2021-07-31,5.100383333,62.05911381
2021-08-05,4.524466667,63.40334046
2021-08-10,5.149116667,79.33507233
2021-08-15,3.1595,63.38929463
2021-08-20,4.348666667,77.56489288
2021-08-25,3.497525,82.36793647
2021-08-30,4.709216667,61.42860267
2021-09-04,4.0792,66.732765
2021-09-09,4.021166667,62.48941073
2021-09-14,4.23825,67.72760076
2021-09-19,2.938925,63.74431428
2021-09-24,3.27,70.67112172
2021-09-29,5.312208333,67.48820209
2021-10-04,3.980583333,64.95592673
2021-10-09,4.019216667,84.90241073
2021-10-14,4.225558333,76.50041062
2021-10-19,4.813958333,84.50975931
2021-10-24,5.215608333,71.19728865
2021-10-29,4.6817,76.91450463
2021-11-03,5.717733333,82.9816221
2021-11-08,4.932991667,84.15277112
2021-11-13,4.65255,80.91794711
2021-11-18,4.327291667,67.36271671
2021-11-23,4.362266667,76.79133747
2021-11-28,3.185458333,73.94051024
2021-12-03,5.584608333,78.15937955
2021-12-08,4.85815,78.67499311
2021-12-13,4.765308333,79.55462349
2021-12-18,4.851925,73.60969872
2021-12-23,3.409658333,70.32226846
2021-12-28,4.023341667,61.64299846
2022-01-02,4.54415,65.65051067
2022-01-07,4.089358333,77.63831073
2022-01-12,4.761333333,73.90059889
2022-01-17,3.3945,68.12121868
2022-01-22,4.458325,84.54523677
2022-01-27,5.072183333,78.85656951
2022-02-01,5.045475,83.96580278
2022-02-06,4.804358333,80.45926838
2022-02-11,4.062983333,79.65668846
2022-02-16,4.149233333,70.0142312
2022-02-21,4.836308333,71.36819868
2022-02-26,6.427275,63.55540791
2022-03-03,6.092025,66.98188831
2022-03-08,6.368116667,62.23306752
2022-03-13,5.754641667,81.83482392
2022-03-18,4.700166667,67.24210793
2022-03-23,4.997616667,71.90614872
